Year    IndustryIndustryIndustryUnits   VariableVariableVariableValue   Industry_code_ANZSIC06
    2017Level 1    99999All induDollars H22     Closing Financia   59721ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H23     Surplus Financia   87027ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H24     Total asFinancia 1968716ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H25     Current Financia  565618ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H26     Fixed taFinancia  458928ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H29     Other asFinancia  944170ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H30     Total eqFinancia 1968717ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H31     ShareholFinancia  620922ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H32     Current Financia  750792ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H33     Other liFinancia  597003ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H34     Total inFinancia  363500ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induDollars H35     Surplus Financia   49100ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induPercentaH36     Current Financia      75ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induPercentaH37     Quick raFinancia      67ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induPercentaH39     Return oFinancia      14ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induPercentaH40     Return oFinancia       4ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 1    99999All induPercentaH41     LiabilitFinancia      32ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)
    2017Level 4 AA111   HorticulDollars H01     Total inFinancia    4228ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H04     Sales, gFinancia    3999ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H05     InterestFinancia      72ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H07     Non-operFinancia     158ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H08     Total exFinancia    3444ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H09     InterestFinancia     179ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H10     IndirectFinancia      34ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H11     DepreciaFinancia     184ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H12     SalariesFinancia     715ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H13     RedundanFinancia       0ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H19     PurchaseFinancia    2320ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H20     Non-operFinancia      12ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H21     Opening Financia     303ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H22     Closing Financia     312ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H23     Surplus Financia     794ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H24     Total asFinancia   12214ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H25     Current Financia    2182ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H26     Fixed taFinancia    8073ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H29     Other asFinancia    1959ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H30     Total eqFinancia   12214ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H31     ShareholFinancia    5648ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H32     Current Financia    3030ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H33     Other liFinancia    3536ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H34     Total inFinancia  169200ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulDollars H35     Surplus Financia   31800ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulPercentaH36     Current Financia      72ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulPercentaH37     Quick raFinancia      62ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulPercentaH39     Return oFinancia      14ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulPercentaH40     Return oFinancia       6ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA111   HorticulPercentaH41     LiabilitFinancia      46ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H01     Total inFinancia    4228ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H04     Sales, gFinancia    3999ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H05     InterestFinancia      72ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H07     Non-operFinancia     158ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H08     Total exFinancia    3444ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H09     InterestFinancia     179ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H10     IndirectFinancia      34ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H11     DepreciaFinancia     184ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H12     SalariesFinancia     715ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H13     RedundanFinancia       0ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H19     PurchaseFinancia    2320ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H20     Non-operFinancia      12ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H21     Opening Financia     303ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H22     Closing Financia     312ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H23     Surplus Financia     794ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H24     Total asFinancia   12214ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H25     Current Financia    2182ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H26     Fixed taFinancia    8073ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H29     Other asFinancia    1959ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H30     Total eqFinancia   12214ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H31     ShareholFinancia    5648ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H32     Current Financia    3030ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H33     Other liFinancia    3536ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H34     Total inFinancia  169200ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulDollars H35     Surplus Financia   31800ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulPercentaH36     Current Financia      72ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulPercentaH37     Quick raFinancia      62ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulPercentaH39     Return oFinancia      14ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulPercentaH40     Return oFinancia       6ANZSIC06 groups A011, A012, and A013
    2017Level 3 AA11    HorticulPercentaH41     LiabilitFinancia      46ANZSIC06 groups A011, A012, and A013
    2017Level 4 AA121   Sheep, BDollars H01     Total inFinancia   10093ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H04     Sales, gFinancia    9429ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H05     InterestFinancia     138ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H07     Non-operFinancia     526ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H08     Total exFinancia    9102ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H09     InterestFinancia     673ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H10     IndirectFinancia     180ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H11     DepreciaFinancia     505ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H12     SalariesFinancia     916ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H13     RedundanFinancia       0ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H19     PurchaseFinancia    6796ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H20     Non-operFinancia      33ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H21     Opening Financia    5590ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H22     Closing Financia    5868ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H23     Surplus Financia    1268ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H24     Total asFinancia   53905ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H25     Current Financia   11228ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H26     Fixed taFinancia   34244ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H29     Other asFinancia    8433ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H30     Total eqFinancia   53905ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H31     ShareholFinancia   30241ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H32     Current Financia    9009ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H33     Other liFinancia   14655ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H34     Total inFinancia  482900ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BDollars H35     Surplus Financia   60700ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BPercentaH36     Current Financia     125ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BPercentaH37     Quick raFinancia      59ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BPercentaH39     Return oFinancia       4ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BPercentaH40     Return oFinancia       2ANZSIC06 groups A014 and A015
    2017Level 4 AA121   Sheep, BPercentaH41     LiabilitFinancia      56ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H01     Total inFinancia   10093ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H04     Sales, gFinancia    9429ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H05     InterestFinancia     138ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H07     Non-operFinancia     526ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H08     Total exFinancia    9102ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H09     InterestFinancia     673ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H10     IndirectFinancia     180ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H11     DepreciaFinancia     505ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H12     SalariesFinancia     916ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H13     RedundanFinancia       0ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H19     PurchaseFinancia    6796ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H20     Non-operFinancia      33ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H21     Opening Financia    5590ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H22     Closing Financia    5868ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H23     Surplus Financia    1268ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H24     Total asFinancia   53905ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H25     Current Financia   11228ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H26     Fixed taFinancia   34244ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H29     Other asFinancia    8433ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H30     Total eqFinancia   53905ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H31     ShareholFinancia   30241ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H32     Current Financia    9009ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H33     Other liFinancia   14655ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H34     Total inFinancia  482900ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BDollars H35     Surplus Financia   60700ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BPercentaH36     Current Financia     125ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BPercentaH37     Quick raFinancia      59ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BPercentaH39     Return oFinancia       4ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BPercentaH40     Return oFinancia       2ANZSIC06 groups A014 and A015
    2017Level 3 AA12    Sheep, BPercentaH41     LiabilitFinancia      56ANZSIC06 groups A014 and A015
    2017Level 4 AA131   Dairy CaDollars H01     Total inFinancia   12817ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H04     Sales, gFinancia   12307ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H05     InterestFinancia     202ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H07     Non-operFinancia     308ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H08     Total exFinancia   11220ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H09     InterestFinancia    1635ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H10     IndirectFinancia     177ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H11     DepreciaFinancia     638ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H12     SalariesFinancia    1384ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H13     RedundanFinancia       0ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H19     PurchaseFinancia    7343ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H20     Non-operFinancia      43ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H21     Opening Financia    7125ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H22     Closing Financia    7193ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H23     Surplus Financia    1665ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H24     Total asFinancia   67755ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H25     Current Financia   12108ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H26     Fixed taFinancia   41639ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H29     Other asFinancia   14008ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H30     Total eqFinancia   67755ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H31     ShareholFinancia   24693ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H32     Current Financia   10465ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H33     Other liFinancia   32597ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H34     Total inFinancia  502900ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaDollars H35     Surplus Financia   65300ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaPercentaH36     Current Financia     116ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaPercentaH37     Quick raFinancia      47ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaPercentaH39     Return oFinancia       7ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaPercentaH40     Return oFinancia       2ANZSIC06 group A016
    2017Level 4 AA131   Dairy CaPercentaH41     LiabilitFinancia      36ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H01     Total inFinancia   12817ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H04     Sales, gFinancia   12307ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H05     InterestFinancia     202ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H07     Non-operFinancia     308ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H08     Total exFinancia   11220ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H09     InterestFinancia    1635ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H10     IndirectFinancia     177ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H11     DepreciaFinancia     638ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H12     SalariesFinancia    1384ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H13     RedundanFinancia       0ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H19     PurchaseFinancia    7343ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H20     Non-operFinancia      43ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H21     Opening Financia    7125ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H22     Closing Financia    7193ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H23     Surplus Financia    1665ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H24     Total asFinancia   67755ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H25     Current Financia   12108ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H26     Fixed taFinancia   41639ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H29     Other asFinancia   14008ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H30     Total eqFinancia   67755ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H31     ShareholFinancia   24693ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H32     Current Financia   10465ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H33     Other liFinancia   32597ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H34     Total inFinancia  502900ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaDollars H35     Surplus Financia   65300ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaPercentaH36     Current Financia     116ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaPercentaH37     Quick raFinancia      47ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaPercentaH39     Return oFinancia       7ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaPercentaH40     Return oFinancia       2ANZSIC06 group A016
    2017Level 3 AA13    Dairy CaPercentaH41     LiabilitFinancia      36ANZSIC06 group A016
    2017Level 4 AA141   Poultry,Dollars H01     Total inFinancia    2099ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H04     Sales, gFinancia    2010ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H05     InterestFinancia      24ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H07     Non-operFinancia      65ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H08     Total exFinancia    1842ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H09     InterestFinancia      94ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H10     IndirectFinancia      15ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H11     DepreciaFinancia      97ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H12     SalariesFinancia     258ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H13     RedundanFinancia       0ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H19     PurchaseFinancia    1371ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H20     Non-operFinancia       8ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H21     Opening Financia     594ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H22     Closing Financia     628ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H23     Surplus Financia     290ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H24     Total asFinancia    6381ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H25     Current Financia    1672ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H26     Fixed taFinancia    3750ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H29     Other asFinancia     958ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H30     Total eqFinancia    6381ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H31     ShareholFinancia    2723ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H32     Current Financia    1638ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H33     Other liFinancia    2020ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H34     Total inFinancia  361100ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,Dollars H35     Surplus Financia   49900ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,PercentaH36     Current Financia     102ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,PercentaH37     Quick raFinancia      64ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,PercentaH39     Return oFinancia      11ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,PercentaH40     Return oFinancia       5ANZSIC06 groups A017, A018, and A019
    2017Level 4 AA141   Poultry,PercentaH41     LiabilitFinancia      43ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H01     Total inFinancia    2099ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H04     Sales, gFinancia    2010ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H05     InterestFinancia      24ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H07     Non-operFinancia      65ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H08     Total exFinancia    1842ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H09     InterestFinancia      94ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H10     IndirectFinancia      15ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H11     DepreciaFinancia      97ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H12     SalariesFinancia     258ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H13     RedundanFinancia       0ANZSIC06 groups A017, A018, and A019
    2017Level 3 AA14    Poultry,Dollars H19     PurchaseFinancia    1371ANZSIC06 groups A017, A018, and A019
